label,gross,period,num_dependants,expected_adjustment,source
"MLA2 $537/weekly/spouse",537,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $537/weekly/1ch",537,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $537/weekly/2ch",537,weekly,2,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $537/weekly/3ch",537,weekly,3,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $537/weekly/4ch",537,weekly,4,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $537/weekly/5ch",537,weekly,5,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $538/weekly/spouse",538,weekly,0,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $538/weekly/1ch",538,weekly,1,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $538/weekly/2ch",538,weekly,2,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $538/weekly/3ch",538,weekly,3,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $538/weekly/4ch",538,weekly,4,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $538/weekly/5ch",538,weekly,5,0,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $604/weekly/spouse",604,weekly,0,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $604/weekly/1ch",604,weekly,1,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $604/weekly/2ch",604,weekly,2,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $604/weekly/3ch",604,weekly,3,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $604/weekly/4ch",604,weekly,4,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $604/weekly/5ch",604,weekly,5,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $605/weekly/spouse",605,weekly,0,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $605/weekly/1ch",605,weekly,1,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $605/weekly/2ch",605,weekly,2,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $605/weekly/3ch",605,weekly,3,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $605/weekly/4ch",605,weekly,4,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $605/weekly/5ch",605,weekly,5,7,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $672/weekly/spouse",672,weekly,0,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $672/weekly/1ch",672,weekly,1,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $672/weekly/2ch",672,weekly,2,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $672/weekly/3ch",672,weekly,3,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $672/weekly/4ch",672,weekly,4,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $672/weekly/5ch",672,weekly,5,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $673/weekly/spouse",673,weekly,0,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $673/weekly/1ch",673,weekly,1,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $673/weekly/2ch",673,weekly,2,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $673/weekly/3ch",673,weekly,3,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $673/weekly/4ch",673,weekly,4,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $673/weekly/5ch",673,weekly,5,13,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $706/weekly/spouse",706,weekly,0,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $706/weekly/1ch",706,weekly,1,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $706/weekly/2ch",706,weekly,2,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $706/weekly/3ch",706,weekly,3,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $706/weekly/4ch",706,weekly,4,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $706/weekly/5ch",706,weekly,5,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $707/weekly/spouse",707,weekly,0,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $707/weekly/1ch",707,weekly,1,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $707/weekly/2ch",707,weekly,2,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $707/weekly/3ch",707,weekly,3,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $707/weekly/4ch",707,weekly,4,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $707/weekly/5ch",707,weekly,5,14,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $740/weekly/spouse",740,weekly,0,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $740/weekly/1ch",740,weekly,1,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $740/weekly/2ch",740,weekly,2,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $740/weekly/3ch",740,weekly,3,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $740/weekly/4ch",740,weekly,4,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $740/weekly/5ch",740,weekly,5,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $741/weekly/spouse",741,weekly,0,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $741/weekly/1ch",741,weekly,1,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $741/weekly/2ch",741,weekly,2,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $741/weekly/3ch",741,weekly,3,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $741/weekly/4ch",741,weekly,4,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $741/weekly/5ch",741,weekly,5,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $774/weekly/spouse",774,weekly,0,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $774/weekly/1ch",774,weekly,1,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $774/weekly/2ch",774,weekly,2,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $774/weekly/3ch",774,weekly,3,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $774/weekly/4ch",774,weekly,4,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $774/weekly/5ch",774,weekly,5,15,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $775/weekly/spouse",775,weekly,0,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $775/weekly/1ch",775,weekly,1,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $775/weekly/2ch",775,weekly,2,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $775/weekly/3ch",775,weekly,3,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $775/weekly/4ch",775,weekly,4,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $775/weekly/5ch",775,weekly,5,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $808/weekly/spouse",808,weekly,0,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $808/weekly/1ch",808,weekly,1,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $808/weekly/2ch",808,weekly,2,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $808/weekly/3ch",808,weekly,3,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $808/weekly/4ch",808,weekly,4,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $808/weekly/5ch",808,weekly,5,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $809/weekly/spouse",809,weekly,0,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $809/weekly/1ch",809,weekly,1,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $809/weekly/2ch",809,weekly,2,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $809/weekly/3ch",809,weekly,3,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $809/weekly/4ch",809,weekly,4,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $809/weekly/5ch",809,weekly,5,16,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $842/weekly/spouse",842,weekly,0,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $842/weekly/1ch",842,weekly,1,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $842/weekly/2ch",842,weekly,2,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $842/weekly/3ch",842,weekly,3,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $842/weekly/4ch",842,weekly,4,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $842/weekly/5ch",842,weekly,5,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $843/weekly/spouse",843,weekly,0,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $843/weekly/1ch",843,weekly,1,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $843/weekly/2ch",843,weekly,2,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $843/weekly/3ch",843,weekly,3,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $843/weekly/4ch",843,weekly,4,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $843/weekly/5ch",843,weekly,5,17,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $876/weekly/spouse",876,weekly,0,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $876/weekly/1ch",876,weekly,1,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $876/weekly/2ch",876,weekly,2,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $876/weekly/3ch",876,weekly,3,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $876/weekly/4ch",876,weekly,4,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $876/weekly/5ch",876,weekly,5,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $877/weekly/spouse",877,weekly,0,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $877/weekly/1ch",877,weekly,1,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $877/weekly/2ch",877,weekly,2,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $877/weekly/3ch",877,weekly,3,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $877/weekly/4ch",877,weekly,4,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $877/weekly/5ch",877,weekly,5,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $910/weekly/spouse",910,weekly,0,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $910/weekly/1ch",910,weekly,1,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $910/weekly/2ch",910,weekly,2,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $910/weekly/3ch",910,weekly,3,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $910/weekly/4ch",910,weekly,4,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $910/weekly/5ch",910,weekly,5,18,"ATO MLA Scale 2 2026-27 sample data"
"MLA2 $911/weekly/spouse",911,weekly,0,18,"ATO MLA Scale 2 2026-27 sample data"
